City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
179,loncoche,0,CL,1517385915,83,-39.37,-72.63,41.36,3.38
180,san jeronimo,20,PE,1517385915,100,-13.65,-73.37,40.15,1.92
181,westport,40,IE,1517383800,80,53.8,-9.52,33.8,23.04
182,xining,0,CN,1517385917,20,36.62,101.77,25.43,3.15
183,itaqui,32,BR,1517385918,84,-29.13,-56.55,69.35,14.34
184,vila velha,40,BR,1517382000,78,-3.71,-38.6,80.6,13.87
185,abnub,0,EG,1517382000,81,27.27,31.15,50.0,6.93
186,aklavik,40,CA,1517382000,67,68.22,-135.01,-25.61,2.24
187,luderitz,0,NA,1517382000,68,-26.65,15.16,71.6,21.92
188,fortuna,20,ES,1517383800,93,38.18,-1.13,50.0,8.05
189,juneau,75,US,1517381580,62,58.3,-134.42,23.0,2.71
190,camocim,88,BR,1517385922,94,-2.9,-40.84,77.27,10.2
191,olden,75,NO,1517383200,86,61.84,6.81,42.8,4.7
192,kota kinabalu,75,MY,1517383800,70,5.98,116.07,89.6,2.24
193,taltal,48,CL,1517385923,99,-25.41,-70.49,55.22,1.03
194,faanui,76,PF,1517385923,100,-16.48,-151.75,83.03,7.29
195,katsuura,75,JP,1517382000,45,33.93,134.5,42.8,8.05
196,el alto,75,BO,1517382000,93,-16.5,-68.19,44.6,2.24
197,norman wells,75,CA,1517382000,66,65.28,-126.83,-32.81,2.24
198,geraldton,90,CA,1517382840,92,49.72,-86.95,12.2,8.05
199,whitianga,92,NZ,1517385926,98,-36.83,175.7,72.14,21.72
200,sile,1,US,1517381700,40,35.56,-106.37,42.8,2.37
201,peabiru,0,BR,1517382000,83,-23.91,-52.35,69.8,9.17
202,egvekinot,0,RU,1517385928,58,66.32,-179.17,-2.16,2.37
203,orumiyeh,20,IR,1517382000,50,37.55,45.08,28.4,3.71
204,viedma,0,AR,1517385929,65,-40.81,-62.99,53.96,9.42
205,banda aceh,76,ID,1517385929,100,5.56,95.32,77.72,1.14
